clubName,tier,squadSize,ratedCount,squadAverageOvr,startingXiAverageOvr,highestPlayer,highestOvr,lowestPlayer,lowestOvr,squadConfidence,status
Cádiz CF,Tier A (Fully Rated),63,51,73.2,81.0,Alfonso Espino,86.0,Iván Chapela,61.0,0.83,RATED
AC Milan,Tier B (Partially Rated),1,1,81.0,81.0,Matteo Gabbia,81.0,Matteo Gabbia,81.0,0.86,PARTIAL_DATA
CF Fuenlabrada,Tier A (Fully Rated),34,27,73.1,80.8,Mohamed Bouldini,85.0,Anderson Cordeiro Costa,62.0,0.78,RATED
Real Oviedo,Tier A (Fully Rated),32,23,75.0,80.7,Borja González Tomás,91.0,Marco Sangalli,64.0,0.84,RATED
Rayo Vallecano,Tier A (Fully Rated),54,46,72.5,80.5,Alejandro Catena,85.0,Tiago Manuel Dias Correia,61.0,0.83,RATED
SD Huesca,Tier A (Fully Rated),36,23,74.4,80.5,Ignasi Miquel,88.0,David Ferreiro,63.0,0.87,RATED
AD Alcorcón,Tier A (Fully Rated),34,27,73.9,80.4,Óscar Rivas,85.0,Joel Valencia,64.0,0.8,RATED
RCD Espanyol de Barcelona,Tier A (Fully Rated),37,27,73.1,80.1,Raúl de Tomás,90.0,Landry Dimata,62.0,0.77,RATED
Real Sporting,Tier A (Fully Rated),39,25,74.3,80.1,Uros Djurdjevic,87.0,Unknown Player,65.0,0.82,RATED
Udinese,Tier B (Partially Rated),1,1,80.0,80.0,Nehuen Pérez,80.0,Nehuen Pérez,80.0,0.98,PARTIAL_DATA
Elche CF,Tier A (Fully Rated),31,26,73.8,79.8,Helibelton Palacios Zapata,83.0,Unknown Player,64.0,0.82,RATED
Luton Town FC,Tier A (Fully Rated),49,25,76.4,79.8,Alfie Doughty,84.0,Thomas Kaminski,67.0,0.83,RATED
Ipswich,Tier A (Fully Rated),40,30,74.6,79.7,Leif Davis,83.0,Alex Palmer,67.0,0.73,RATED
Sheffield United FC,Tier A (Fully Rated),47,31,74.1,79.6,Gustavo Hamer,82.0,Unknown Player,62.0,0.74,RATED
Real Zaragoza,Tier A (Fully Rated),33,23,75.1,79.6,Jair Amador Silos,86.0,Miguel Puche,65.0,0.87,RATED
CD Lugo,Tier A (Fully Rated),30,24,73.5,79.5,Orest Lebedenko,91.0,Francisco Sebastián Moyano Jiménez,64.0,0.84,RATED
Málaga CF,Tier A (Fully Rated),40,27,73.4,79.4,Alberto Escassi,85.0,Kevin Villodres,64.0,0.82,RATED
R. Sociedad B,Tier A (Fully Rated),30,23,72.6,78.5,Beñat Turrientes,82.0,Jon Magunazelaia,61.0,0.78,RATED
SD Amorebieta,Tier A (Fully Rated),27,27,72.0,78.0,Jon Irazábal,88.0,Mikel Álvaro Salazar,63.0,0.84,RATED
Brentford FC,Tier A (Fully Rated),38,25,72.0,76.3,David Raya Martin,91.0,Dominic Thompson,66.0,0.63,RATED
VfL Bochum,Tier B (Partially Rated),1,1,76.0,76.0,Gonçalo Mendes Paciência,76.0,Gonçalo Mendes Paciência,76.0,0.73,PARTIAL_DATA
