statId,playerId,playerName,primaryPosition,positionGroup,clubName,seasonKey,status,ovr,confidence,minutesPlayed,appearances,finishing,shotPower,shotAccuracy,positioning,attackingMovement,shortPassing,longPassing,vision,crossing,throughBalls,chanceCreation,tackling,interceptions,marking,defensiveAwareness,positioningDef,blocks,aerialAbility,dribbling,ballControl,composure,stamina,strength,pace,acceleration,workRate,gkReflexes,gkHandling,gkPositioning,gkKicking,gkClaims
laliga-stat-25383-2021-2022,laliga-p-25383,Luis Bilbao,ST,ATTACKER,Athletic Club,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-835-2021-2022,laliga-p-835,Luis Hernández,CB,DEFENDER,Cádiz CF,2021-2022,RATED,70,0.86,1365,16,59.0,61.0,60.0,64.0,65.0,79.0,77.0,78.0,77.0,77.0,78.0,68.0,68.0,68.0,68.0,68.0,68.0,70.0,75.0,75.0,75.0,74.0,73.0,74.0,74.0,73.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-14678-2021-2022,laliga-p-14678,Luis Federico López Andúgar,GK,GOALKEEPER,Real Madrid CF,2021-2022,UNRATED,,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-4523-2021-2022,laliga-p-4523,Luis Milla,CM,MIDFIELDER,Granada CF,2021-2022,RATED,79,0.99,2785,34,67.0,69.0,67.0,71.0,76.0,78.0,77.0,78.0,77.0,77.0,78.0,72.0,71.0,71.0,71.0,71.0,71.0,77.0,80.0,80.0,83.0,91.0,89.0,89.0,89.0,87.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-8635-2021-2022,laliga-p-8635,Luis Rioja,CM,MIDFIELDER,Deportivo Alavés,2021-2022,RATED,69,0.99,3126,37,65.0,68.0,66.0,71.0,76.0,60.0,61.0,60.0,61.0,61.0,60.0,59.0,60.0,60.0,60.0,60.0,61.0,69.0,82.0,81.0,84.0,91.0,89.0,90.0,90.0,85.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-1460-2021-2022,laliga-p-1460,Unknown Player,CM,MIDFIELDER,Atlético de Madrid,2021-2022,RATED,65,0.99,1835,35,89.0,87.0,88.0,84.0,82.0,62.0,63.0,62.0,63.0,63.0,62.0,56.0,56.0,57.0,56.0,57.0,57.0,61.0,71.0,71.0,72.0,73.0,73.0,73.0,73.0,70.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-8542-2021-2022,laliga-p-8542,Luis Suárez,ST,ATTACKER,Granada CF,2021-2022,RATED,80,0.99,2855,37,77.0,79.0,77.0,78.0,83.0,56.0,57.0,56.0,58.0,57.0,56.0,60.0,60.0,60.0,60.0,60.0,61.0,69.0,81.0,79.0,83.0,91.0,89.0,90.0,90.0,85.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-24283-2021-2022,laliga-p-24283,Luis Miguel Cruz Hernández,ST,ATTACKER,Sevilla FC,2021-2022,UNRATED,,0.05,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laliga-stat-4470-2021-2022,laliga-p-4470,Luka Jovic,ST,ATTACKER,Real Madrid CF,2021-2022,RATED,73,0.63,359,15,77.0,75.0,77.0,75.0,69.0,56.0,58.0,57.0,58.0,58.0,57.0,58.0,59.0,59.0,59.0,59.0,60.0,57.0,69.0,69.0,66.0,55.0,56.0,57.0,57.0,56.0,10.0,10.0,10.0,10.0,10.0
laliga-stat-64-2021-2022,laliga-p-64,Luka Modric,CM,MIDFIELDER,Real Madrid CF,2021-2022,RATED,89,0.99,2049,28,71.0,72.0,71.0,77.0,75.0,99.0,99.0,99.0,98.0,99.0,99.0,61.0,61.0,62.0,61.0,62.0,62.0,67.0,90.0,91.0,88.0,80.0,79.0,82.0,82.0,76.0,10.0,10.0,10.0,10.0,10.0
